week_start,cell_id,category,channel,spend,context_index,measured_incremental_contribution,evidence_type,evidence_reference
2024-01-01,Beauty | Affiliate,Beauty,Affiliate,97818.62345914,1.00000000,101161.08577223,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-01,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,48722.18906368,1.04349655,113412.77608735,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-01,Beauty | Paid Search,Beauty,Paid Search,67931.06536066,1.07833269,97414.19152725,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-01,Electronics | Affiliate,Electronics,Affiliate,76808.31675711,1.09757234,177412.33708306,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-01,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,129647.97710948,1.09738476,115890.45843781,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-01,Electronics | Paid Search,Electronics,Paid Search,57637.56143401,1.07780732,133206.05289012,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-01,Grocery | Affiliate,Grocery,Affiliate,128415.32904457,1.04273799,150039.26735660,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-01,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,63871.49149281,0.99915928,177228.19528684,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-01,Grocery | Paid Search,Grocery,Paid Search,104911.25361874,0.95574796,136976.84839723,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-01,Home | Affiliate,Home,Affiliate,55453.54469618,0.92114747,148712.50977170,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-01,Home | Lifecycle CRM,Home,Lifecycle CRM,69216.65969942,0.90224699,85399.71296505,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-01,Home | Paid Search,Home,Paid Search,71980.43210471,0.90280969,165306.34962093,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-08,Beauty | Affiliate,Beauty,Affiliate,114989.57132279,1.02393157,100571.26216565,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-08,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,74297.73434375,1.06378173,156849.74302382,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-08,Beauty | Paid Search,Beauty,Paid Search,101710.82480894,1.09093259,130550.52128173,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-08,Electronics | Affiliate,Electronics,Affiliate,48318.87371305,1.09997823,147215.08517400,synthetic_fixture,public-safe-schema-fixture-v1
2024-01-08,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,126773.97386374,1.08911764,126451.52588780,synthetic_fixture,public-safe-schema-fixture-v1
