scenario,policy,cell_id,category,channel,historical_spend,minimum_spend,maximum_spend,allocated_spend,allocation_share,predicted_incremental_contribution,predicted_incremental_profit
Base,Historical,Beauty | Affiliate,Beauty,Affiliate,73228.74375426142,29291.49750170457,161103.23625937515,87809.78674395144,0.0731748222866262,,
Base,Historical,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,60893.91167713842,24357.56467085537,133966.60568970453,73018.88745105448,0.060849072875878735,,
Base,Historical,Beauty | Paid Search,Beauty,Paid Search,89481.96028419399,35792.7841136776,196860.3126252268,107299.28505059953,0.0894160708754996,,
Base,Historical,Electronics | Affiliate,Electronics,Affiliate,52162.91533670347,20865.16613468139,114758.41374074764,62549.40665143085,0.052124505542859044,,
Base,Historical,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,110313.34337041707,44125.33734816683,242689.35541491758,132278.5379041125,0.11023211492009376,,
Base,Historical,Electronics | Paid Search,Electronics,Paid Search,71178.82837293956,28471.531349175828,156593.42242046705,85351.69961519957,0.07112641634599964,,
Base,Historical,Grocery | Affiliate,Grocery,Affiliate,94834.19343614153,37933.677374456616,208635.2255595114,113717.23553809605,0.09476436294841338,,
Base,Historical,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,66454.58917745414,26581.835670981658,146200.0961903991,79686.78697276671,0.06640565581063892,,
Base,Historical,Grocery | Paid Search,Grocery,Paid Search,104841.43012926997,41936.57205170799,230651.14628439394,125717.07706028136,0.1047642308835678,,
Base,Historical,Home | Affiliate,Home,Affiliate,61446.09484640107,24578.43793856043,135181.40866208237,73681.01933876348,0.06140084944896956,,
Base,Historical,Home | Lifecycle CRM,Home,Lifecycle CRM,126466.2648823791,50586.505952951644,278225.78274123406,151647.77081102866,0.1263731423425239,,
Base,Historical,Home | Paid Search,Home,Paid Search,89434.61026176963,35773.84410470785,196756.1425758932,107242.50686271531,0.08936875571892942,,
Base,Equal,Beauty | Affiliate,Beauty,Affiliate,73228.74375426142,29291.49750170457,161103.23625937515,100000.0,0.08333333333333333,,
Base,Equal,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,60893.91167713842,24357.56467085537,133966.60568970453,100000.0,0.08333333333333333,,
