scenario,policy,cell_id,category,channel,historical_spend,minimum_spend,maximum_spend,allocated_spend,allocation_share,predicted_incremental_contribution,predicted_incremental_profit,reference_spend
Base,Optimized,Beauty | Affiliate,Beauty,Affiliate,73228.74375426142,29291.49750170457,161103.23625937515,62244.43219112221,0.051870360159268505,83315.13538813549,21070.70319701328,87809.78674395144
Base,Optimized,Beauty | Lifecycle CRM,Beauty,Lifecycle CRM,60893.91167713842,24357.56467085537,133966.60568970453,115698.432186563,0.09641536015546917,171469.78424186772,55771.35205530471,73018.88745105448
Base,Optimized,Beauty | Paid Search,Beauty,Paid Search,89481.96028419399,35792.7841136776,196860.3126252268,82770.81326287944,0.0689756777190662,104603.25044931764,21832.437186438197,107299.28505059953
Base,Optimized,Electronics | Affiliate,Electronics,Affiliate,52162.91533670347,20865.16613468139,114758.41374074764,103021.75778998935,0.08585146482499112,186300.32297090924,83278.56518091989,62549.40665143085
Base,Optimized,Electronics | Lifecycle CRM,Electronics,Lifecycle CRM,110313.34337041707,44125.33734816683,242689.35541491758,68160.06877537267,0.056800057312810556,94616.2520120876,26456.183236714933,132278.5379041125
Base,Optimized,Electronics | Paid Search,Electronics,Paid Search,71178.82837293956,28471.531349175828,156593.42242046705,108547.71326873284,0.09045642772394404,164653.52534159095,56105.81207285811,85351.69961519957
Base,Optimized,Grocery | Affiliate,Grocery,Affiliate,94834.19343614153,37933.677374456616,208635.2255595114,87721.62892843093,0.07310135744035912,114596.85520862653,26875.226280195595,113717.23553809605
Base,Optimized,Grocery | Lifecycle CRM,Grocery,Lifecycle CRM,66454.58917745414,26581.835670981658,146200.0961903991,146200.0961903991,0.12183341349199926,240286.34447155928,94086.24828116017,79686.78697276671
Base,Optimized,Grocery | Paid Search,Grocery,Paid Search,104841.43012926997,41936.57205170799,230651.14628439394,96978.32286957472,0.08081526905797894,139340.00344260212,42361.68057302739,125717.07706028136
Base,Optimized,Home | Affiliate,Home,Affiliate,61446.09484640107,24578.43793856043,135181.40866208237,130572.95154860229,0.10881079295716857,211964.55669659356,81391.60514799127,73681.01933876348
Base,Optimized,Home | Lifecycle CRM,Home,Lifecycle CRM,126466.2648823791,50586.505952951644,278225.78274123406,88526.38541766538,0.07377198784805448,110682.7159705242,22156.33055285881,151647.77081102866
Base,Optimized,Home | Paid Search,Home,Paid Search,89434.61026176963,35773.84410470785,196756.1425758932,109557.3975706678,0.09129783130888984,229048.45554705133,119491.05797638353,107242.50686271531
