scenario,policy,budget,true_incremental_contribution,true_incremental_profit,incremental_contribution_roi,incremental_profit_roi,allocation_turnover,regret_vs_oracle
Base,Historical,1200000.0,1788637.7831481562,588637.7831481562,1.4905314859567969,0.49053148595679685,0.0,0.035058887023440656
Base,Equal,1200000.0,1833626.162215143,633626.162215143,1.5280218018459524,0.5280218018459525,0.11491867768902785,0.010788385205290425
Base,Optimized,1199999.9999999998,1848387.3769375945,648387.3769375947,1.5403228141146623,0.5403228141146624,0.19339003471918678,0.0028249489537659806
Base,Oracle,1199999.9999999998,1853623.7694658227,653623.769465823,1.5446864745548525,0.5446864745548525,0.18030383751866738,0.0
Growth,Historical,1380000.0,2081361.9711736706,701361.9711736706,1.508233312444689,0.5082333124446888,0.0,0.03252666228975981
Growth,Equal,1380000.0,2130736.6273775212,750736.6273775212,1.5440120488242908,0.5440120488242908,0.11491867768902768,0.009575986675705778
Growth,Optimized,1379999.9999999995,2147245.2967150826,767245.2967150831,1.5559748526920893,0.5559748526920893,0.17654175626329913,0.0019023106662614353
Growth,Oracle,1379999.9999999995,2151337.8095769724,771337.8095769729,1.5589404417224444,0.5589404417224443,0.173690481560448,0.0
Conservative,Historical,1020000.0000000002,1492713.639885088,472713.63988508773,1.46344474498538,0.46344474498538,0.0,0.03801974584488991
Conservative,Equal,1020000.0,1531646.4863791275,511646.4863791275,1.5016142023324779,0.5016142023324779,0.11491867768902783,0.012929448171853842
Conservative,Optimized,1020000.0000000002,1547149.0756982523,527149.0756982521,1.5168128193120116,0.5168128193120117,0.19031565056025176,0.0029387946300117283
Conservative,Oracle,1020000.0000000003,1551709.2304520444,531709.230452044,1.5212835592667098,0.5212835592667097,0.18522163295155974,0.0
